ffn,T,batch,n_params,fwd_ms,fb_ms,tokens_per_sec,peak_mb
relu,64,8,809856,4.426099999818689,14.265849999901548,35889.904913028906,nan
gelu,64,8,809856,4.687050000029558,15.030549999892173,34063.95640902515,nan
swiglu,64,8,814656,4.657349999888538,15.207449999934397,33667.70891912903,nan
emlglu,64,8,814656,5.559850000054212,17.52699999997276,29212.07280200809,nan
relu,128,8,818048,9.14550000015879,29.078350000190767,35215.20306321652,nan
gelu,128,8,818048,9.724200000164274,29.982300000028772,34153.483888794966,nan
swiglu,128,8,822848,9.65465000012955,30.80374999990454,33242.705839489456,nan
emlglu,128,8,822848,11.515899999949397,35.03030000001672,29231.836438726223,nan
relu,256,8,834432,20.692349999990256,63.945399999738584,32027.323310329946,nan
gelu,256,8,834432,21.62559999987934,66.66930000005777,30718.786607902366,nan
swiglu,256,8,839232,21.144599999843194,66.42655000018749,30831.045718831094,nan
emlglu,256,8,839232,25.852049999912197,76.2491499999669,26859.31580877805,nan
