step,lr,train_loss,val_loss,step_ms
0,3e-05,4.1322526931762695,4.1315999031066895,310.5657000000974
200,0.0029815877595936752,2.334228992462158,2.3325576782226562,55.47130000013567
400,0.00283728956412876,1.9605687856674194,2.0510802268981934,51.5200999998342
600,0.0025643301216947507,1.751943588256836,1.898954153060913,55.44920000011189
800,0.002192288823281509,1.6261920928955078,1.7883694171905518,55.943900000102076
1000,0.0017614821163876488,1.5576633214950562,1.7257335186004639,61.554300000125295
1200,0.0013185945923599213,1.475572943687439,1.6547561883926392,52.04950000006647
1400,0.0009116199865347239,1.4224623441696167,1.6466230154037476,51.56370000008792
1600,0.0005846603123148688,1.3839497566223145,1.6015369892120361,55.81209999991188
1800,0.00037314672370414325,1.3541717529296875,1.5934555530548096,49.7933000001467
1999,0.0003000018454242252,1.3470977544784546,1.5681196451187134,51.97069999985615
